hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,adr,stays_in_week_nights,stays_in_weekend_nights,country,revenue
City Hotel,0,142,2017,August,150.0,1,0,USA,150.0
City Hotel,0,127,2017,May,85.0,2,1,FRA,255.0
City Hotel,0,33,2015,September,94.5,3,0,DEU,283.5
City Hotel,0,28,2015,November,75.18,3,0,ITA,225.54
City Hotel,0,0,2017,March,95.0,1,1,ESP,190.0
City Hotel,0,0,2017,July,189.0,1,1,FRA,378.0
City Hotel,0,124,2017,June,118.2,4,0,GBR,472.8
City Hotel,0,50,2015,August,84.0,4,0,PRT,336.0
City Hotel,0,105,2017,May,144.0,3,0,IRL,432.0
City Hotel,0,60,2017,June,130.0,1,1,ESP,260.0
City Hotel,0,1,2017,May,40.0,1,1,PRT,80.0
City Hotel,0,69,2017,April,99.0,1,1,IRL,198.0
City Hotel,0,4,2016,August,129.0,1,0,PRT,129.0
City Hotel,0,6,2016,August,228.0,1,2,ESP,684.0
City Hotel,0,85,2016,September,149.4,3,0,AUT,448.2000000000001
City Hotel,0,11,2015,December,157.67,3,0,FRA,473.01
City Hotel,0,1,2017,July,170.0,1,0,PRT,170.0
City Hotel,0,28,2015,August,0.0,3,1,PRT,0.0
City Hotel,0,124,2017,May,126.0,4,2,DEU,756.0
City Hotel,0,6,2016,July,114.4,1,0,ESP,114.4
City Hotel,0,5,2017,April,148.0,2,0,ESP,296.0
City Hotel,0,37,2017,August,140.0,1,0,PRT,140.0
City Hotel,0,3,2017,August,95.0,0,1,PRT,95.0
City Hotel,0,75,2017,May,91.33,1,2,AUS,273.99
City Hotel,0,176,2017,July,148.5,2,2,GBR,594.0
City Hotel,0,84,2016,March,82.45,5,2,ESP,577.15
City Hotel,0,11,2016,July,196.0,1,0,DEU,196.0
City Hotel,0,112,2016,August,117.9,2,0,ESP,235.8
City Hotel,0,16,2015,October,189.49,5,2,ESP,1326.43
City Hotel,0,259,2016,December,73.95,4,0,AUT,295.8
City Hotel,0,20,2015,July,84.0,2,0,PRT,168.0
City Hotel,0,11,2017,February,100.0,0,2,POL,200.0
City Hotel,0,0,2016,November,59.94,4,0,TUR,239.76
City Hotel,0,1,2015,August,153.0,0,2,PRT,306.0
City Hotel,0,94,2017,May,147.0,1,2,IRL,441.0
City Hotel,0,43,2016,October,179.63,2,1,DEU,538.89
City Hotel,0,61,2016,May,135.0,0,2,PRT,270.0
City Hotel,0,170,2017,July,89.1,1,2,NOR,267.29999999999995
City Hotel,0,1,2016,February,227.0,1,0,PRT,227.0
City Hotel,0,267,2016,October,80.75,2,0,DEU,161.5
City Hotel,0,34,2017,January,62.83,6,3,USA,565.47
City Hotel,0,5,2016,November,84.0,3,2,USA,420.0
City Hotel,0,6,2015,November,73.15,3,1,NLD,292.6
City Hotel,0,159,2017,May,129.6,4,0,FRA,518.4
City Hotel,0,0,2016,May,103.0,2,1,NLD,309.0
City Hotel,0,22,2016,February,108.5,4,2,PRT,651.0
City Hotel,0,33,2017,July,86.63,1,1,BRA,173.26
City Hotel,0,21,2016,February,64.22,3,0,DEU,192.66
City Hotel,0,0,2016,August,90.0,1,0,PRT,90.0
City Hotel,0,39,2016,November,88.4,3,0,FRA,265.20000000000005
City Hotel,0,8,2016,August,128.0,1,1,NLD,256.0
City Hotel,0,147,2017,July,152.1,4,1,IRL,760.5
City Hotel,0,60,2016,November,93.6,1,1,SWE,187.2
City Hotel,0,167,2017,July,139.5,2,0,ITA,279.0
City Hotel,0,56,2017,March,79.74,0,1,IRL,79.74
City Hotel,0,139,2016,February,93.0,3,0,GBR,279.0
City Hotel,0,0,2015,August,115.0,2,1,PRT,345.0
City Hotel,0,90,2016,March,46.67,2,1,DEU,140.01
City Hotel,0,176,2016,August,137.7,1,2,GBR,413.1
City Hotel,0,132,2017,July,141.78,6,3,FRA,1276.02
City Hotel,0,1,2015,August,153.0,3,2,AGO,765.0
City Hotel,0,38,2017,March,77.23,3,2,GBR,386.15
City Hotel,0,142,2016,July,136.85,5,0,PRT,684.25
City Hotel,0,39,2016,March,81.9,2,1,BEL,245.7
City Hotel,0,7,2017,February,113.0,1,0,FRA,113.0
City Hotel,0,4,2016,September,65.0,2,1,PRT,195.0
City Hotel,0,1,2016,May,149.0,0,1,MLT,149.0
City Hotel,0,100,2016,December,105.0,2,0,FRA,210.0
City Hotel,0,32,2017,March,74.8,2,2,FRA,299.2
City Hotel,0,0,2015,October,75.0,1,0,ISR,75.0
City Hotel,0,247,2016,September,115.2,3,0,GBR,345.6
City Hotel,0,32,2017,January,65.0,1,0,PRT,65.0
City Hotel,0,0,2016,December,65.0,1,0,PRT,65.0
City Hotel,0,21,2017,June,65.0,1,0,PRT,65.0
City Hotel,0,216,2017,June,110.4,2,1,ITA,331.20000000000005
City Hotel,0,34,2017,July,140.0,0,1,GBR,140.0
City Hotel,0,8,2015,October,96.9,3,2,FRA,484.5
City Hotel,0,47,2017,March,75.0,4,1,FRA,375.0
City Hotel,0,22,2017,February,91.8,2,2,GBR,367.2
City Hotel,0,27,2017,January,82.88,3,0,GBR,248.64
City Hotel,0,6,2016,December,75.0,1,0,PRT,75.0
City Hotel,0,0,2016,April,67.0,1,0,PRT,67.0
City Hotel,0,29,2015,September,170.0,5,2,PRT,1190.0
City Hotel,0,53,2017,June,126.0,4,1,GBR,630.0
City Hotel,0,34,2016,November,102.67,2,1,PRT,308.01
City Hotel,0,7,2015,September,152.0,2,0,FRA,304.0
City Hotel,0,96,2017,May,126.0,1,1,ITA,252.0
City Hotel,0,70,2016,April,137.7,1,2,FRA,413.1
City Hotel,0,6,2017,January,75.0,1,0,ESP,75.0
City Hotel,0,14,2016,July,169.0,1,0,FRA,169.0
City Hotel,0,47,2017,March,67.15,3,1,PRT,268.6
City Hotel,0,3,2015,October,132.33,2,1,FRA,396.99
City Hotel,0,58,2017,March,74.8,2,2,DEU,299.2
City Hotel,0,198,2016,May,65.0,1,0,PRT,65.0
City Hotel,0,51,2017,January,68.47,1,2,FRA,205.41
City Hotel,0,0,2016,December,0.0,0,0,PRT,0.0
City Hotel,0,0,2016,August,86.7,5,2,DNK,606.9
City Hotel,0,1,2016,November,111.0,1,0,ESP,111.0
City Hotel,0,169,2015,September,163.0,2,2,SVK,652.0
City Hotel,0,202,2017,February,76.16,3,1,NLD,304.64
City Hotel,0,74,2017,April,110.0,5,0,FIN,550.0
City Hotel,0,35,2017,June,89.0,0,1,CN,89.0
City Hotel,0,56,2017,June,163.33,5,1,RUS,979.98
City Hotel,0,186,2017,May,139.5,1,2,ITA,418.5
City Hotel,0,14,2016,March,140.0,3,2,CHE,700.0
City Hotel,0,12,2017,May,119.0,1,1,DEU,238.0
City Hotel,0,59,2016,October,108.0,0,1,GBR,108.0
City Hotel,0,6,2016,July,156.5,2,2,DEU,626.0
City Hotel,0,37,2016,November,72.0,1,2,GBR,216.0
City Hotel,0,32,2017,February,75.0,1,2,FRA,225.0
City Hotel,0,189,2016,July,112.5,0,2,PRT,225.0
City Hotel,0,0,2016,July,0.0,0,0,PRT,0.0
City Hotel,0,146,2016,September,89.75,1,0,DEU,89.75
City Hotel,0,0,2017,April,117.0,3,1,ESP,468.0
City Hotel,0,0,2017,March,98.0,1,0,PRT,98.0
City Hotel,0,178,2017,April,189.0,4,1,ITA,945.0
City Hotel,0,243,2016,September,106.2,2,1,ITA,318.6
City Hotel,0,0,2015,August,75.0,4,0,PRT,300.0
City Hotel,0,138,2016,April,90.95,2,2,DEU,363.8
City Hotel,0,56,2016,May,85.5,3,1,NLD,342.0
City Hotel,0,156,2017,August,157.5,5,2,PRT,1102.5
City Hotel,0,102,2017,April,180.0,3,2,NLD,900.0
City Hotel,0,15,2016,June,146.0,1,2,FRA,438.0
City Hotel,0,63,2017,May,122.4,2,0,GBR,244.8
City Hotel,0,63,2017,August,140.0,1,1,PRT,280.0
City Hotel,0,14,2015,September,132.0,5,2,FRA,924.0
City Hotel,0,118,2016,June,110.0,3,1,POL,440.0
City Hotel,0,7,2016,November,65.0,5,2,PRT,455.0
City Hotel,0,134,2017,May,108.0,3,0,DEU,324.0
City Hotel,0,294,2016,September,117.0,4,0,ITA,468.0
City Hotel,0,11,2015,September,200.0,2,1,PRT,600.0
City Hotel,0,247,2017,July,89.1,1,1,ITA,178.2
City Hotel,0,0,2016,September,201.16,1,0,PRT,201.16
City Hotel,0,0,2017,January,88.0,1,0,PRT,88.0
City Hotel,0,41,2017,May,95.0,1,0,PRT,95.0
City Hotel,0,155,2016,August,121.5,0,1,USA,121.5
City Hotel,0,147,2017,June,125.1,2,1,PRT,375.3
City Hotel,0,25,2017,March,106.08,2,2,USA,424.32
City Hotel,0,7,2016,March,81.0,1,0,PRT,81.0
City Hotel,0,25,2016,December,104.0,2,0,PRT,208.0
City Hotel,0,85,2017,April,99.0,2,1,FRA,297.0
City Hotel,0,192,2016,December,72.75,2,2,ESP,291.0
City Hotel,0,0,2016,June,177.0,1,0,FRA,177.0
City Hotel,0,29,2016,December,66.18,2,0,DEU,132.36
City Hotel,0,167,2016,November,85.0,3,2,DEU,425.0
City Hotel,0,143,2016,August,112.45,3,1,GBR,449.8
City Hotel,0,59,2017,May,162.0,2,2,BRA,648.0
City Hotel,0,160,2016,October,113.4,0,2,PRT,226.8
City Hotel,0,193,2017,July,116.1,5,0,CHE,580.5
City Hotel,0,9,2016,April,174.4,4,1,FRA,872.0
City Hotel,0,25,2016,October,85.0,2,2,FRA,340.0
City Hotel,0,28,2017,August,163.0,3,0,IRL,489.0
City Hotel,0,7,2015,August,0.0,2,1,ISR,0.0
City Hotel,0,120,2017,August,183.0,4,0,HUN,732.0
City Hotel,0,3,2017,March,90.0,6,2,IRL,720.0
City Hotel,0,133,2016,November,117.3,2,2,ESP,469.2
City Hotel,0,16,2016,May,107.0,1,0,DEU,107.0
City Hotel,0,120,2016,August,72.25,4,0,GBR,289.0
City Hotel,0,182,2016,October,120.0,1,0,DNK,120.0
City Hotel,0,69,2017,April,126.0,2,2,NLD,504.0
City Hotel,0,10,2016,August,207.9,1,1,CHN,415.8
City Hotel,0,222,2017,May,122.66,0,2,GBR,245.32
City Hotel,0,191,2016,June,132.0,2,1,PRT,396.0
City Hotel,0,8,2015,August,85.57,5,2,FRA,598.99
City Hotel,0,179,2016,July,81.25,3,0,CHE,243.75
City Hotel,0,0,2016,November,149.0,2,0,ESP,298.0
City Hotel,0,17,2016,February,87.0,1,2,FRA,261.0
City Hotel,0,265,2016,April,99.0,4,0,AUT,396.0
City Hotel,0,4,2016,November,138.33,3,0,ITA,414.99
City Hotel,0,4,2016,November,108.67,1,2,PRT,326.01
City Hotel,0,10,2016,December,88.0,1,0,FRA,88.0
City Hotel,0,86,2015,September,100.0,2,0,FRA,200.0
City Hotel,0,153,2016,July,99.45,2,2,CHE,397.8
City Hotel,0,10,2015,October,170.8,3,2,GBR,854.0
City Hotel,0,6,2016,October,89.0,0,1,ESP,89.0
City Hotel,0,60,2017,August,122.4,1,1,BRA,244.8
City Hotel,0,2,2017,March,60.0,5,2,PRT,420.0
City Hotel,0,19,2015,July,0.0,2,2,PRT,0.0
City Hotel,0,0,2015,November,91.0,0,1,ESP,91.0
City Hotel,0,145,2015,August,76.5,2,2,PRT,306.0
City Hotel,0,46,2017,June,120.0,1,0,FRA,120.0
City Hotel,0,26,2016,September,95.0,0,1,ISR,95.0
City Hotel,0,200,2015,October,89.25,2,1,IRL,267.75
City Hotel,0,219,2017,March,79.2,2,1,RUS,237.6
City Hotel,0,34,2016,June,107.1,3,0,PRT,321.29999999999995
City Hotel,0,40,2017,February,98.0,2,1,ESP,294.0
City Hotel,0,86,2015,November,72.25,3,2,POL,361.25
City Hotel,0,133,2016,July,105.3,3,0,PRT,315.9
City Hotel,0,52,2016,October,148.5,3,2,NLD,742.5
City Hotel,0,32,2016,January,64.0,1,2,ARG,192.0
City Hotel,0,45,2017,February,72.0,2,2,DEU,288.0
City Hotel,0,42,2016,November,112.0,2,1,ESP,336.0
City Hotel,0,136,2016,August,86.36,3,2,FRA,431.8
City Hotel,0,89,2017,April,99.0,1,2,NLD,297.0
City Hotel,0,238,2016,June,96.48,1,0,GBR,96.48
City Hotel,0,63,2015,September,60.0,3,0,BRA,180.0
City Hotel,0,58,2016,September,152.08,3,1,GBR,608.32
City Hotel,0,39,2016,November,114.41,3,2,FRA,572.05
City Hotel,0,1,2015,August,106.0,2,0,DEU,212.0
City Hotel,0,26,2016,March,90.44,5,0,GBR,452.2
City Hotel,0,2,2016,January,98.0,2,0,PRT,196.0
City Hotel,0,56,2017,March,93.6,2,0,SGP,187.2
City Hotel,0,92,2016,August,117.9,2,1,GBR,353.70000000000005
City Hotel,0,7,2016,February,87.0,2,2,MAR,348.0
City Hotel,0,34,2017,June,108.0,3,1,CHE,432.0
City Hotel,0,288,2017,July,116.09,2,0,BRA,232.18
City Hotel,0,12,2016,August,118.5,2,0,PRT,237.0
City Hotel,0,28,2016,July,143.45,2,2,ITA,573.8
City Hotel,0,5,2017,February,80.76,4,2,PRT,484.56000000000006
City Hotel,0,0,2016,July,99.0,1,0,USA,99.0
City Hotel,0,7,2016,July,85.0,4,0,ESP,340.0
City Hotel,0,0,2017,June,95.0,1,0,BEL,95.0
City Hotel,0,37,2016,March,71.1,1,0,FRA,71.1
City Hotel,0,118,2015,December,107.25,2,1,POL,321.75
City Hotel,0,52,2017,March,207.0,2,0,PRT,414.0
City Hotel,0,2,2015,November,95.0,1,0,PRT,95.0
City Hotel,0,60,2016,November,93.6,2,1,BEL,280.79999999999995
City Hotel,0,2,2016,October,99.0,0,2,BEL,198.0
City Hotel,0,92,2016,June,81.95,3,1,FIN,327.8
City Hotel,0,17,2017,March,75.0,5,2,PRT,525.0
City Hotel,0,5,2016,September,209.7,1,2,ESP,629.0999999999999
City Hotel,0,98,2017,July,150.0,1,2,FRA,450.0
City Hotel,0,8,2016,February,81.0,2,0,PRT,162.0
City Hotel,0,161,2016,October,133.61,2,1,BRA,400.83
City Hotel,0,220,2016,June,0.0,1,2,USA,0.0
City Hotel,0,2,2017,August,113.98,1,0,PRT,113.98
City Hotel,0,22,2015,October,107.0,4,0,CHE,428.0
City Hotel,0,13,2016,September,95.38,0,1,DEU,95.38
City Hotel,0,3,2016,March,79.0,0,1,ESP,79.0
City Hotel,0,7,2017,April,128.0,2,0,CN,256.0
City Hotel,0,40,2015,August,84.0,2,2,ESP,336.0
City Hotel,0,1,2016,October,120.0,1,0,ESP,120.0
City Hotel,0,245,2017,February,50.2,2,1,GBR,150.60000000000002
City Hotel,0,59,2017,March,79.2,1,0,GBR,79.2
City Hotel,0,0,2016,May,85.0,0,1,PRT,85.0
City Hotel,0,52,2016,December,122.4,3,0,PRT,367.2000000000001
City Hotel,0,7,2016,February,193.0,2,1,FRA,579.0
City Hotel,0,31,2015,September,134.1,2,1,GBR,402.3
City Hotel,0,272,2017,May,132.44,3,0,FIN,397.32
City Hotel,0,73,2016,November,75.0,1,2,FRA,225.0
City Hotel,0,89,2017,March,79.2,1,1,TUR,158.4
City Hotel,0,29,2016,November,88.4,5,0,ITA,442.0
City Hotel,0,0,2015,September,0.0,1,0,PRT,0.0
City Hotel,0,47,2015,December,71.5,2,2,PRT,286.0
City Hotel,0,21,2016,October,169.0,2,0,ITA,338.0
City Hotel,0,51,2017,March,0.0,0,0,PRT,0.0
City Hotel,0,102,2016,June,65.0,0,1,ISR,65.0
City Hotel,0,42,2016,November,85.05,2,0,PRT,170.1
City Hotel,0,0,2015,July,0.0,2,0,PRT,0.0
City Hotel,0,74,2016,March,78.3,2,1,NLD,234.9
City Hotel,0,138,2016,August,101.49,5,0,NOR,507.45
City Hotel,0,82,2017,May,83.16,1,1,CN,166.32
City Hotel,0,8,2017,May,160.0,4,0,PRT,640.0
City Hotel,0,38,2016,September,85.5,1,2,FRA,256.5
City Hotel,0,141,2016,May,104.55,2,2,DEU,418.2
City Hotel,0,0,2016,May,129.0,1,0,PRT,129.0
City Hotel,0,135,2016,August,130.5,1,0,DNK,130.5
City Hotel,0,0,2017,August,125.0,4,2,PRT,750.0
City Hotel,0,18,2016,November,75.0,1,0,PRT,75.0
City Hotel,0,31,2016,October,157.5,1,0,NOR,157.5
City Hotel,0,10,2017,March,103.0,1,1,ESP,206.0
City Hotel,0,92,2016,June,135.9,3,0,GBR,407.7000000000001
City Hotel,0,63,2017,June,220.0,1,1,BEL,440.0
City Hotel,0,2,2015,December,94.0,1,0,PRT,94.0
City Hotel,0,59,2015,October,85.0,2,0,PRT,170.0
City Hotel,0,4,2017,August,67.0,0,1,PRT,67.0
City Hotel,0,0,2017,February,135.33,1,2,ESP,405.99
City Hotel,0,162,2017,April,88.2,1,2,CN,264.6
